Id CCAA,CCAA,Id Provincia,Provincia,País,Titularidad,Sexo,Total,Infantil ciclo 1,Infantil ciclo 2,Primaria,Ed Especial,ESO,Bachillerato,Bachillerato a distancia,FP Básica,FP Medio,FP Superior,FP Medio a distancia,FP Superior a distancia,Otros
CA07,Castilla y León,PR40,Segovia,España,Privada,Mujeres,1.796,126,310,674,0,524,162,0,0,0,0,0,0,0
CA07,Castilla y León,PR42,Soria,España,Privada,Mujeres,991,82,187,403,0,284,35,0,0,0,0,0,0,0
CA07,Castilla y León,PR47,Valladolid,España,Privada,Mujeres,16.228,531,2.526,5.756,79,4.196,1.138,0,136,671,876,100,219,0
CA07,Castilla y León,PR49,Zamora,España,Privada,Mujeres,2.541,42,446,1.090,0,736,114,0,2,111,0,0,0,0
CA08,Castilla-La Mancha,PR02,Albacete,España,Privada,Mujeres,6.000,778,1.003,2.384,36,1.240,231,0,31,59,210,25,3,0
CA08,Castilla-La Mancha,PR13,Ciudad Real,España,Privada,Mujeres,7.713,562,1.291,2.992,70,2.060,302,0,42,255,139,0,0,0
CA08,Castilla-La Mancha,PR16,Cuenca,España,Privada,Mujeres,1.541,137,271,576,8,444,44,0,12,22,27,0,0,0
CA08,Castilla-La Mancha,PR19,Guadalajara,España,Privada,Mujeres,4.456,549,681,1.407,4,1.246,306,0,31,120,112,0,0,0
CA08,Castilla-La Mancha,PR45,Toledo,España,Privada,Mujeres,14.072,978,2.180,4.979,88,3.722,680,0,50,515,354,286,240,0
CA09,Cataluña,PR08,Barcelona,España,Privada,Mujeres,190.607,11.487,28.432,64.800,1.018,48.875,15.380,0,0,5.891,9.753,1.238,3.120,613
CA09,Cataluña,PR17,Girona,España,Privada,Mujeres,13.050,694,2.264,5.036,57,3.698,649,0,0,181,393,0,16,62
CA09,Cataluña,PR25,Lleida,España,Privada,Mujeres,15.114,583,1.436,3.223,32,2.239,577,0,0,231,527,1.708,4.534,24
CA09,Cataluña,PR43,Tarragona,España,Privada,Mujeres,15.680,1.066,2.787,6.142,121,4.268,748,0,0,268,245,0,0,35
CA10,Comunitat Valenciana,PR03,Alicante,España,Privada,Mujeres,38.211,2.917,5.855,14.233,89,10.080,2.433,0,87,2.071,446,0,0,0
CA10,Comunitat Valenciana,PR12,Castellón,España,Privada,Mujeres,11.644,1.097,1.613,3.902,24,2.998,651,0,9,765,585,0,0,0
CA10,Comunitat Valenciana,PR46,Valencia,España,Privada,Mujeres,91.360,8.221,13.616,31.726,187,22.908,6.266,0,237,3.694,4.505,0,0,0
CA11,Extremadura,PR06,Badajoz,España,Privada,Mujeres,10.898,220,1.738,3.909,134,3.252,711,0,10,466,414,0,0,44
CA11,Extremadura,PR10,Cáceres,España,Privada,Mujeres,6.304,157,1.168,2.577,0,1.842,312,0,0,110,115,0,0,23
CA12,Galicia,PR15,A Coruña,España,Privada,Mujeres,21.820,2.130,3.434,7.865,103,5.284,1.262,0,115,732,835,0,60,0
CA12,Galicia,PR27,Lugo,España,Privada,Mujeres,4.398,361,833,1.835,3,1.110,122,0,0,39,95,0,0,0
CA12,Galicia,PR32,Ourense,España,Privada,Mujeres,5.769,472,925,2.131,11,1.579,262,0,80,238,63,8,0,0
CA12,Galicia,PR36,Pontevedra,España,Privada,Mujeres,22.110,2.217,3.440,7.965,113,5.482,882,0,147,858,1.003,0,3,0
CA13,Comunidad de Madrid,PR28,Madrid,España,Privada,Mujeres,274.100,24.109,43.329,96.904,977,66.712,22.153,0,1.324,6.127,7.915,1.180,3.231,139
CA14,Región de Murcia,PR30,Murcia,España,Privada,Mujeres,43.399,2.314,7.183,15.923,164,11.237,1.986,0,311,1.552,1.538,532,583,76
CA15,Comunidad Foral de Navarra,PR31,Navarra,España,Privada,Mujeres,19.712,461,3.487,7.299,90,5.440,1.776,0,155,440,466,0,53,45
CA16,País Vasco,PR01,Álava,España,Privada,Mujeres,12.268,738,2.029,3.973,31,3.220,1.278,0,125,294,580,0,0,0
CA16,País Vasco,PR20,Gipuzkoa,España,Privada,Mujeres,29.738,2.063,4.649,10.327,90,7.586,2.897,0,243,711,1.172,0,0,0
CA16,País Vasco,PR48,Bizkaia,España,Privada,Mujeres,46.023,3.230,6.990,16.170,125,11.672,4.300,0,520,1.177,1.839,0,0,0
CA17,La Rioja,PR26,La Rioja,España,Privada,Mujeres,9.247,811,1.437,3.298,38,2.437,468,0,152,346,256,0,0,4
CA18,Ceuta,PR51,Ceuta,España,Privada,Mujeres,2.018,95,354,804,0,593,45,0,21,0,0,0,0,106
CA19,Melilla,PR52,Melilla,España,Privada,Mujeres,1.727,200,408,810,0,252,38,0,0,0,0,0,0,19
CA01,Andalucía,PR04,Almería,España,Privada,Hombres,12.292,3.315,1.631,3.426,35,2.316,550,0,70,433,425,0,91,0
CA01,Andalucía,PR11,Cádiz,España,Privada,Hombres,31.343,3.305,4.424,10.340,247,7.855,1.741,0,449,1.796,1.185,0,1,0
CA01,Andalucía,PR14,Córdoba,España,Privada,Hombres,21.206,3.356,2.966,6.359,209,4.679,1.034,0,208,1.277,1.056,51,11,0
CA01,Andalucía,PR18,Granada,España,Privada,Hombres,27.328,2.536,3.575,8.469,346,6.379,1.488,0,317,1.452,2.031,113,622,0
CA01,Andalucía,PR21,Huelva,España,Privada,Hombres,9.633,1.784,1.360,2.871,53,2.226,256,0,180,685,218,0,0,0
CA01,Andalucía,PR23,Jaén,España,Privada,Hombres,13.955,1.484,2.114,4.781,73,3.520,636,0,136,765,438,0,8,0
CA01,Andalucía,PR29,Málaga,España,Privada,Hombres,46.982,7.850,6.248,14.411,233,10.677,2.849,0,331,1.745,1.999,76,563,0
CA01,Andalucía,PR41,Sevilla,España,Privada,Hombres,55.890,9.848,7.256,16.612,496,12.235,2.919,0,513,2.681,2.968,106,256,0
CA02,Aragón,PR22,Huesca,España,Privada,Hombres,3.490,263,584,1.366,30,913,174,0,35,73,52,0,0,0
CA02,Aragón,PR44,Teruel,España,Privada,Hombres,1.285,127,222,519,0,375,42,0,0,0,0,0,0,0
CA02,Aragón,PR50,Zaragoza,España,Privada,Hombres,30.801,1.804,4.615,10.299,237,7.739,1.993,0,511,1.497,1.749,10,177,170
