Id CCAA;CCAA;Id Provincia;Provincia;Edad;Titularidad;Alumnos
CA12;Galicia;PR32;Ourense;2;Privada;501
CA12;Galicia;PR36;Pontevedra;2;Privada;2.502
CA13;Madrid, Comunidad de;PR28;Madrid;2;Privada;25.421
CA14;Murcia, Región de;PR30;Murcia;2;Privada;2.677
CA15;Navarra, Comunidad Foral de;PR31;Navarra;2;Privada;522
CA16;País Vasco;PR01;Álava;2;Privada;1.078
CA16;País Vasco;PR20;Gipuzkoa;2;Privada;2.520
CA16;País Vasco;PR48;Bizkaia;2;Privada;3.735
CA17;Rioja, La;PR26;La Rioja;2;Privada;951
CA18;Ceuta;PR51;Ceuta;2;Privada;135
CA19;Melilla;PR52;Melilla;2;Privada;322
CA01;Andalucía;PR04;Almería;3;Pública;6.770
CA01;Andalucía;PR11;Cádiz;3;Pública;8.806
CA01;Andalucía;PR14;Córdoba;3;Pública;4.829
CA01;Andalucía;PR18;Granada;3;Pública;6.261
CA01;Andalucía;PR21;Huelva;3;Pública;3.938
CA01;Andalucía;PR23;Jaén;3;Pública;3.890
CA01;Andalucía;PR29;Málaga;3;Pública;11.442
CA01;Andalucía;PR41;Sevilla;3;Pública;14.231
CA02;Aragón;PR22;Huesca;3;Pública;1.427
CA02;Aragón;PR44;Teruel;3;Pública;923
CA02;Aragón;PR50;Zaragoza;3;Pública;5.528
CA03;Asturias, Principado de;PR33;Asturias;3;Pública;4.445
CA04;Balears, Illes;PR07;Baleares;3;Pública;6.754
CA05;Canarias;PR35;Las Palmas;3;Pública;6.305
CA05;Canarias;PR38;Santa Cruz de Tenerife;3;Pública;5.291
CA06;Cantabria;PR39;Cantabria;3;Pública;3.083
CA07;Castilla y León;PR05;Ávila;3;Pública;841
CA07;Castilla y León;PR09;Burgos;3;Pública;1.642
CA07;Castilla y León;PR24;León;3;Pública;1.840
CA07;Castilla y León;PR34;Palencia;3;Pública;740
CA07;Castilla y León;PR37;Salamanca;3;Pública;1.323
CA07;Castilla y León;PR40;Segovia;3;Pública;974
CA07;Castilla y León;PR42;Soria;3;Pública;552
CA07;Castilla y León;PR47;Valladolid;3;Pública;2.447
CA07;Castilla y León;PR49;Zamora;3;Pública;665
CA08;Castilla-La Mancha;PR02;Albacete;3;Pública;2.577
CA08;Castilla-La Mancha;PR13;Ciudad Real;3;Pública;3.388
CA08;Castilla-La Mancha;PR16;Cuenca;3;Pública;1.374
CA08;Castilla-La Mancha;PR19;Guadalajara;3;Pública;2.031
CA08;Castilla-La Mancha;PR45;Toledo;3;Pública;5.440
CA09;Cataluña;PR08;Barcelona;3;Pública;32.278
CA09;Cataluña;PR17;Girona;3;Pública;5.807
CA09;Cataluña;PR25;Lleida;3;Pública;2.995
CA09;Cataluña;PR43;Tarragona;3;Pública;5.649
CA10;Comunitat Valenciana;PR03;Alicante;3;Pública;11.911
CA10;Comunitat Valenciana;PR12;Castellón;3;Pública;4.118
CA10;Comunitat Valenciana;PR46;Valencia;3;Pública;12.923
CA11;Extremadura;PR06;Badajoz;3;Pública;4.671
CA11;Extremadura;PR10;Cáceres;3;Pública;2.233
CA12;Galicia;PR15;A Coruña;3;Pública;6.061
CA12;Galicia;PR27;Lugo;3;Pública;1.553
CA12;Galicia;PR32;Ourense;3;Pública;1.184
CA12;Galicia;PR36;Pontevedra;3;Pública;4.728
CA13;Madrid, Comunidad de;PR28;Madrid;3;Pública;34.371
CA14;Murcia, Región de;PR30;Murcia;3;Pública;10.832
CA15;Navarra, Comunidad Foral de;PR31;Navarra;3;Pública;3.927
CA16;País Vasco;PR01;Álava;3;Pública;1.834
